[2024-05-23T13:51:03.271] [INFO] Info - {"From":"APP","Date":"2024-05-23T08:21:03.271Z","Ip":"::ffff:127.0.0.1","Request_Url":"/InvoiceManagement/CompleteInvoiceList","Request_Body":{"CustomerId":"65af7dc88a5e9c37f099ab21","CustomerCategory":"Seller","FilterQuery":{"Business":"","Buyer":"","BuyerBusiness":"","CustomDateRange":{"From":"","To":""},"DateRange":"","SearchKey":"","Seller":"","StatusType":"All"},"InvoiceType":"Pending","PageNumber":1},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-05-23T13:51:27.663] [INFO] Info - {"From":"APP","Date":"2024-05-23T08:21:27.663Z","Ip":"::ffff:127.0.0.1","Request_Url":"/InvoiceManagement/CompleteInvoiceList","Request_Body":{"CustomerId":"65af7dc88a5e9c37f099ab21","CustomerCategory":"Seller","FilterQuery":{"Business":"","Buyer":"","BuyerBusiness":"","CustomDateRange":{"From":"","To":""},"DateRange":"","SearchKey":"","Seller":"","StatusType":"All"},"InvoiceType":"Pending","PageNumber":1},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-05-23T13:51:29.208] [INFO] Info - {"From":"APP","Date":"2024-05-23T08:21:29.208Z","Ip":"::ffff:127.0.0.1","Request_Url":"/InvoiceManagement/CompleteInvoiceList","Request_Body":{"CustomerId":"65af7dc88a5e9c37f099ab21","CustomerCategory":"Seller","FilterQuery":{"Business":"","Buyer":"","BuyerBusiness":"","CustomDateRange":{"From":"","To":""},"DateRange":"","SearchKey":"","Seller":"","StatusType":"All"},"InvoiceType":"Pending","PageNumber":1},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-05-23T13:51:32.487] [INFO] Info - {"From":"APP","Date":"2024-05-23T08:21:32.487Z","Ip":"::ffff:127.0.0.1","Request_Url":"/BusinessAndBranchManagement/IndustrySimpleListMobile","Request_Body":{},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-05-23T13:51:32.573] [INFO] Info - {"From":"APP","Date":"2024-05-23T08:21:32.573Z","Ip":"::ffff:127.0.0.1","Request_Url":"/HundiScoreManagement/CustomerDashBoard","Request_Body":{"CustomerId":"65af7dc88a5e9c37f099ab21","CustomerCategory":"Seller"},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-05-23T13:51:34.209] [INFO] Info - {"From":"APP","Date":"2024-05-23T08:21:34.208Z","Ip":"::ffff:127.0.0.1","Request_Url":"/InvoiceManagement/CompleteInvoiceList","Request_Body":{"CustomerId":"65af7dc88a5e9c37f099ab21","CustomerCategory":"Seller","FilterQuery":{"Business":"","Buyer":"","BuyerBusiness":"","CustomDateRange":{"From":"","To":""},"DateRange":"","SearchKey":"","Seller":"","StatusType":"All"},"InvoiceType":"","PageNumber":1},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-05-23T13:51:35.924] [INFO] Info - {"From":"APP","Date":"2024-05-23T08:21:35.924Z","Ip":"::ffff:127.0.0.1","Request_Url":"/InvoiceManagement/CompleteInvoiceList","Request_Body":{"CustomerId":"65af7dc88a5e9c37f099ab21","CustomerCategory":"Seller","FilterQuery":{"Business":"","Buyer":"","BuyerBusiness":"","CustomDateRange":{"From":"","To":""},"DateRange":"","SearchKey":"","Seller":"","StatusType":"All"},"InvoiceType":"Pending","PageNumber":1},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-05-23T13:52:06.713] [INFO] Info - {"From":"APP","Date":"2024-05-23T08:22:06.713Z","Ip":"::ffff:127.0.0.1","Request_Url":"/BusinessAndBranchManagement/IndustrySimpleListMobile","Request_Body":{},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-05-23T13:52:06.798] [INFO] Info - {"From":"APP","Date":"2024-05-23T08:22:06.798Z","Ip":"::ffff:127.0.0.1","Request_Url":"/HundiScoreManagement/CustomerDashBoard","Request_Body":{"CustomerId":"65af7dc88a5e9c37f099ab21","CustomerCategory":"Seller"},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-05-23T13:52:08.356] [INFO] Info - {"From":"APP","Date":"2024-05-23T08:22:08.356Z","Ip":"::ffff:127.0.0.1","Request_Url":"/InvoiceManagement/CompleteInvoiceList","Request_Body":{"CustomerId":"65af7dc88a5e9c37f099ab21","CustomerCategory":"Seller","FilterQuery":{"Business":"","Buyer":"","BuyerBusiness":"","CustomDateRange":{"From":"","To":""},"DateRange":"","SearchKey":"","Seller":"","StatusType":"All"},"InvoiceType":"","PageNumber":1},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-05-23T13:52:09.805] [INFO] Info - {"From":"APP","Date":"2024-05-23T08:22:09.805Z","Ip":"::ffff:127.0.0.1","Request_Url":"/InvoiceManagement/CompleteInvoiceList","Request_Body":{"CustomerId":"65af7dc88a5e9c37f099ab21","CustomerCategory":"Seller","FilterQuery":{"Business":"","Buyer":"","BuyerBusiness":"","CustomDateRange":{"From":"","To":""},"DateRange":"","SearchKey":"","Seller":"","StatusType":"All"},"InvoiceType":"Pending","PageNumber":1},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-05-23T13:52:51.937] [INFO] Info - {"From":"APP","Date":"2024-05-23T08:22:51.937Z","Ip":"::ffff:127.0.0.1","Request_Url":"/BusinessAndBranchManagement/IndustrySimpleListMobile","Request_Body":{},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-05-23T13:52:52.026] [INFO] Info - {"From":"APP","Date":"2024-05-23T08:22:52.026Z","Ip":"::ffff:127.0.0.1","Request_Url":"/HundiScoreManagement/CustomerDashBoard","Request_Body":{"CustomerId":"65af7dc88a5e9c37f099ab21","CustomerCategory":"Seller"},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-05-23T13:52:53.491] [INFO] Info - {"From":"APP","Date":"2024-05-23T08:22:53.491Z","Ip":"::ffff:127.0.0.1","Request_Url":"/InvoiceManagement/CompleteInvoiceList","Request_Body":{"CustomerId":"65af7dc88a5e9c37f099ab21","CustomerCategory":"Seller","FilterQuery":{"Business":"","Buyer":"","BuyerBusiness":"","CustomDateRange":{"From":"","To":""},"DateRange":"","SearchKey":"","Seller":"","StatusType":"All"},"InvoiceType":"","PageNumber":1},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-05-23T13:52:54.808] [INFO] Info - {"From":"APP","Date":"2024-05-23T08:22:54.808Z","Ip":"::ffff:127.0.0.1","Request_Url":"/InvoiceManagement/CompleteInvoiceList","Request_Body":{"CustomerId":"65af7dc88a5e9c37f099ab21","CustomerCategory":"Seller","FilterQuery":{"Business":"","Buyer":"","BuyerBusiness":"","CustomDateRange":{"From":"","To":""},"DateRange":"","SearchKey":"","Seller":"","StatusType":"All"},"InvoiceType":"Pending","PageNumber":1},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-05-23T13:56:03.805] [INFO] Info - {"From":"APP","Date":"2024-05-23T08:26:03.805Z","Ip":"::ffff:127.0.0.1","Request_Url":"/BusinessAndBranchManagement/IndustrySimpleListMobile","Request_Body":{},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-05-23T13:56:03.898] [INFO] Info - {"From":"APP","Date":"2024-05-23T08:26:03.898Z","Ip":"::ffff:127.0.0.1","Request_Url":"/HundiScoreManagement/CustomerDashBoard","Request_Body":{"CustomerId":"65af7dc88a5e9c37f099ab21","CustomerCategory":"Seller"},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-05-23T13:56:05.365] [INFO] Info - {"From":"APP","Date":"2024-05-23T08:26:05.365Z","Ip":"::ffff:127.0.0.1","Request_Url":"/InvoiceManagement/CompleteInvoiceList","Request_Body":{"CustomerId":"65af7dc88a5e9c37f099ab21","CustomerCategory":"Seller","FilterQuery":{"Business":"","Buyer":"","BuyerBusiness":"","CustomDateRange":{"From":"","To":""},"DateRange":"","SearchKey":"","Seller":"","StatusType":"All"},"InvoiceType":"","PageNumber":1},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-05-23T13:56:07.239] [INFO] Info - {"From":"APP","Date":"2024-05-23T08:26:07.239Z","Ip":"::ffff:127.0.0.1","Request_Url":"/InvoiceManagement/CompleteInvoiceList","Request_Body":{"CustomerId":"65af7dc88a5e9c37f099ab21","CustomerCategory":"Seller","FilterQuery":{"Business":"","Buyer":"","BuyerBusiness":"","CustomDateRange":{"From":"","To":""},"DateRange":"","SearchKey":"","Seller":"","StatusType":"All"},"InvoiceType":"Pending","PageNumber":1},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-05-23T13:56:29.058] [INFO] Info - {"From":"APP","Date":"2024-05-23T08:26:29.058Z","Ip":"::ffff:127.0.0.1","Request_Url":"/BusinessAndBranchManagement/IndustrySimpleListMobile","Request_Body":{},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-05-23T13:56:29.142] [INFO] Info - {"From":"APP","Date":"2024-05-23T08:26:29.142Z","Ip":"::ffff:127.0.0.1","Request_Url":"/HundiScoreManagement/CustomerDashBoard","Request_Body":{"CustomerId":"65af7dc88a5e9c37f099ab21","CustomerCategory":"Seller"},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
